year,GS_mean,moving_avg
1960,10.136363636363637,10.136363636363637
1961,11.409090909090908,10.772727272727273
1962,11.954545454545455,11.166666666666666
1963,12.863636363636363,11.59090909090909
1964,11.590909090909092,11.954545454545453
1965,12.318181818181818,12.181818181818182
1966,11.782608695652174,12.138833992094861
1967,12.863636363636363,12.138833992094861
1968,12.636363636363637,12.400197628458498
1969,12.181818181818182,12.36610671936759
1970,13.181818181818182,12.715909090909092
1971,10.772727272727273,12.193181818181818
1972,11.227272727272727,11.840909090909092
1973,11.478260869565217,11.665019762845851
1974,12.818181818181818,11.574110671936758
1975,12.772727272727273,12.074110671936758
1976,12.727272727272727,12.449110671936758
1977,12.090909090909092,12.602272727272727
1978,13.227272727272727,12.704545454545455
1979,13.545454545454545,12.897727272727273
1980,13.409090909090908,13.068181818181818
1981,13.136363636363637,13.329545454545453
1982,8.590909090909092,12.170454545454545
1983,13.772727272727273,12.227272727272727
1984,14.227272727272727,12.431818181818182
1985,14.318181818181818,12.727272727272728
1986,13.272727272727273,13.897727272727273
1987,11.590909090909092,13.352272727272728
1988,15.045454545454545,13.556818181818183
1989,13.181818181818182,13.272727272727273
1990,15.090909090909092,13.727272727272727
1991,13.772727272727273,14.272727272727273
1992,13.045454545454545,13.772727272727272
1993,13.136363636363637,13.761363636363637
1994,13.681818181818182,13.409090909090908
1995,12.681818181818182,13.136363636363635
1996,14.227272727272727,13.431818181818182
1997,13.0,13.397727272727272
1998,13.909090909090908,13.454545454545453
1999,13.409090909090908,13.636363636363637
2000,13.227272727272727,13.386363636363637
2001,13.681818181818182,13.556818181818182
2002,13.090909090909092,13.352272727272727
2003,13.772727272727273,13.443181818181818
2004,13.454545454545455,13.5
2005,12.272727272727273,13.147727272727273
2006,12.818181818181818,13.079545454545455
2007,13.545454545454545,13.022727272727273
2008,13.681818181818182,13.079545454545455
2009,14.545454545454545,13.647727272727273
2010,13.636363636363637,13.852272727272727
2011,13.409090909090908,13.818181818181817
2012,13.0,13.647727272727272
2013,14.454545454545455,13.625
2014,12.772727272727273,13.40909090909091
2015,13.272727272727273,13.375
2016,13.136363636363637,13.40909090909091
2017,11.590909090909092,12.69318181818182
2018,11.545454545454545,12.386363636363637
2019,13.227272727272727,12.375
2020,12.227272727272727,12.147727272727273
2021,12.681818181818182,12.420454545454545
2022,11.954545454545455,12.522727272727273
2023,12.0,12.21590909090909
2024,14.454545454545455,12.772727272727273
