Player,PF,Yds,Tot Yds & TO_Ply,Tot Yds & TO_Y/P,Tot Yds & TO_TO,FL,1stD,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_NY/A,Passing_1stD,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Y/A,Rushing_1stD,Penalties_Pen,Penalties_Yds,Penalties_1stPy,#Dr,Sc%,TO%,Average Drive_Start,Average Drive_Time,Average Drive_Plays,Average Drive_Yds,Average Drive_Pts,season,team
Team Stats,213,3572,947.0,3.8,29,14,208,235.0,447,2225,11,15,4.3,119.0,424,1347,6,3.2,59.0,136.0,1011.0,30.0,201.0,16.9,11.9,Own 30.6,2:14,4.83,17.6,0.85,2002,htx
Team Stats,255,4306,896.0,4.8,27,9,237,248.0,439,2655,14,18,5.6,127.0,421,1651,14,3.9,86.0,121.0,961.0,24.0,188.0,24.5,13.8,Own 30.4,2:23,4.89,22.9,1.33,2003,htx
Team Stats,309,5128,1001.0,5.1,25,11,300,286.0,471,3246,16,14,6.2,174.0,481,1882,16,3.9,103.0,106.0,928.0,23.0,177.0,27.7,13.6,Own 30.6,2:44,5.8,28.9,1.55,2004,htx
Team Stats,260,4053,954.0,4.2,24,11,243,270.0,449,2237,15,13,4.3,142.0,437,1816,9,4.2,89.0,106.0,854.0,12.0,173.0,28.9,12.7,Own 32.6,2:39,5.71,23.3,1.42,2005,htx
Team Stats,267,4463,955.0,4.7,25,12,282,329.0,481,2778,14,13,5.3,156.0,431,1685,13,3.9,106.0,90.0,761.0,20.0,169.0,27.2,13.6,Own 28.0,2:47,5.8,26.4,1.46,2006,htx
Team Stats,379,5337,968.0,5.5,38,17,295,346.0,529,3751,24,21,6.8,190.0,417,1586,12,3.8,96.0,82.0,636.0,9.0,172.0,35.5,20.9,Own 29.6,2:45,5.8,30.8,1.9,2007,htx
Team Stats,366,6113,1019.0,6.0,32,12,340,367.0,555,4267,21,20,7.3,210.0,432,1846,16,4.3,106.0,80.0,664.0,24.0,173.0,38.2,17.3,Own 29.8,2:58,6.08,35.3,2.0,2008,htx
Team Stats,388,6129,1043.0,5.9,28,11,340,399.0,593,4654,29,17,7.5,231.0,425,1475,13,3.5,93.0,95.0,833.0,16.0,187.0,33.7,15.0,Own 30.2,2:44,5.75,32.8,1.91,2009,htx
Team Stats,390,6186,1029.0,6.0,18,6,360,365.0,574,4144,24,12,6.8,222.0,423,2042,20,4.8,118.0,90.0,690.0,20.0,179.0,39.7,10.1,Own 25.6,2:38,5.92,34.5,2.17,2010,htx
Team Stats,381,5954,1046.0,5.7,20,11,321,288.0,467,3506,20,9,7.0,176.0,546,2448,18,4.5,131.0,99.0,852.0,14.0,191.0,37.2,10.5,Own 30.3,2:44,5.68,31.1,1.93,2011,htx
Team Stats,416,5953,1090.0,5.5,17,4,341,354.0,554,3830,22,13,6.6,205.0,508,2123,19,4.2,114.0,108.0,873.0,22.0,202.0,35.6,8.4,Own 27.0,2:40,5.58,29.5,1.88,2012,htx
Team Stats,276,5556,1089.0,5.1,31,9,307,371.0,633,3813,19,22,5.6,198.0,414,1743,7,4.2,90.0,112.0,1138.0,19.0,201.0,25.9,14.9,Own 25.8,2:30,5.59,27.6,1.29,2013,htx
Team Stats,372,5513,1062.0,5.2,22,9,313,295.0,485,3352,22,13,6.6,171.0,551,2161,12,3.9,108.0,94.0,834.0,34.0,194.0,33.0,11.3,Own 27.7,2:34,5.65,28.2,1.69,2014,htx
Team Stats,339,5564,1127.0,4.9,20,8,335,358.0,619,3833,29,12,5.9,210.0,472,1731,7,3.7,90.0,107.0,910.0,35.0,204.0,28.9,9.8,Own 25.5,2:25,5.66,27.3,1.57,2015,htx
Team Stats,279,5035,1071.0,4.7,24,8,305,347.0,583,3176,15,16,5.2,173.0,456,1859,8,4.1,102.0,87.0,868.0,30.0,185.0,31.4,11.4,Own 28.6,2:44,6.02,27.2,1.44,2016,htx
Team Stats,338,5120,1027.0,5.0,28,11,313,299.0,525,3278,28,17,5.7,180.0,448,1842,8,4.1,86.0,124.0,1050.0,47.0,192.0,29.2,14.6,Own 25.3,2:30,5.49,26.7,1.63,2017,htx
Team Stats,402,5802,1040.0,5.6,16,7,333,345.0,506,3781,26,9,6.7,202.0,472,2021,12,4.3,94.0,105.0,787.0,37.0,186.0,40.3,8.1,Own 31.3,2:39,5.84,31.1,2.03,2018,htx
Team Stats,378,5792,1017.0,5.7,22,8,346,355.0,534,3783,27,14,6.5,203.0,434,2009,17,4.6,112.0,111.0,892.0,31.0,169.0,37.9,12.4,Own 28.8,2:51,6.17,34.2,2.18,2019,htx
Team Stats,384,6004,940.0,6.4,18,11,326,383.0,546,4538,33,7,7.6,222.0,344,1466,10,4.3,83.0,80.0,619.0,21.0,163.0,42.9,9.8,Own 26.7,2:41,5.96,36.8,2.34,2020,htx
Team Stats,280,4727,1010.0,4.7,22,7,266,354.0,546,3305,21,15,5.6,162.0,420,1422,8,3.4,77.0,114.0,978.0,27.0,188.0,26.6,11.2,Own 29.3,2:33,5.52,25.1,1.41,2021,htx
Team Stats,289,4820,1015.0,4.7,28,9,277,352.0,579,3344,20,19,5.4,159.0,398,1476,7,3.7,90.0,88.0,644.0,28.0,198.0,28.8,13.6,Own 28.2,2:29,5.28,24.3,1.43,2022,htx
Team Stats,377,5820,1083.0,5.4,14,6,329,372.0,592,4173,27,8,6.5,215.0,444,1647,10,3.7,84.0,114.0,937.0,30.0,191.0,37.2,7.3,Own 27.1,2:39,5.87,30.4,1.89,2023,htx
Team Stats,372,5435,1058.0,5.1,19,7,308,357.0,570,3526,20,12,5.7,197.0,434,1909,15,4.4,89.0,119.0,981.0,22.0,193.0,36.8,9.3,Own 31.8,2:43,5.7,28.1,1.83,2024,htx
